Gene_Name,Weight
REXO5,-0.0274336272472533
SLC11A1,0.191433566771052
ABCC2,0.0767370522886544
NR1H3,0.0362890248206889
MYOM2,0.0365492976763623
MSR1,0.0274308104944545
DNAH5,-0.0582525198333251
PER3,-0.135323678826071
NNAT,-0.726843779004279
CCN5,0.0924824856548666
NTN1,0.149255213714938
MPPED2,0.262710513556154
MAP4K4,0.196779201916144
ACTN1,0.190221994621251
CHFR,-0.362503462735694
TMEM38A,0.14081113145607
GSDMB,0.244674941822767
SEMA3C,0.245705910893076
TIMM21,0.624684616244957
GTF3C1,-0.0809670693371839
VDAC3,0.474553498042745
EFR3B,0.135858897009622
RRN3,-0.483644552705849
PHACTR3,-0.0942364587866395
METTL2A,0.250470563690715
PXN,0.259498709192498
CD200,0.0259672517370927
RPGRIP1,0.506947749559277
TINF2,-0.0145007302825759
SUSD2,0.147512136021997
SRRD,-0.598329063951047
TFIP11,-0.483229342722754
CENPM,-0.000579427237499515
APOBEC3H,-0.121646370234811
APOL1,0.229188115522186
ZMYND8,-0.0719265608067973
MYLK2,0.0258338766660825
VAC14,-1.11611560203181
HSDL1,-0.655841217388007
SEC14L5,-0.0785528776180097
TLE6,-0.219277035138009
PRKD2,0.369844637518991
DDX49,-0.274219223334879
CDK6,0.127272267780508
TFPI2,-0.191535548678666
CRYAB,-0.0298773641535674
LPXN,-0.322851790069143
PANX1,0.0364880470055359
SLC6A12,0.0577899151143341
SMOC2,0.0247750100798366
SEMA5A,-0.174446973049538
PLCH1,0.32311352019766
FBXO2,-0.058182877265813
HSD11B1,0.233497112099681
COLEC11,-0.0688627435969983
LRAT,-0.0666593005197416
BCL2L14,-0.137673448921039
PSPC1,0.739220313358865
B4GALT4,0.091799450607763
LRIF1,-0.910013265587461
LY9,-0.00164931416321959
TNFAIP6,0.331040441012422
KCNJ2,0.416722791868598
TTPAL,0.0179163956787253
COL21A1,-0.0549594929403984
SRMS,0.0995252053630733
FNDC11,0.0908166510037167
GRIA3,-0.179330223987666
MMP24,-0.066698090821415
APOL2,0.038314417361949
LSM8,-0.0376885143907124
ACKR4,0.160530095071247
SUMF2,-0.00303744867248545
GDPD2,0.13236302304792
CDC16,-0.363975334239492
THEM6,0.0900807874049215
NECTIN2,0.248915978002071
TOMM40,0.425609531427027
SSBP4,-0.126191641606504
PAK4,0.431937921137992
FLOT2,0.00207500828544617
SNAP25,-0.259307149542189
ZSWIM3,-0.385406075605138
VSTM2L,-0.0974415047859968
SERINC3,0.321619502279672
CPLANE2,-0.0540512036341541
ANKRD36,0.0062630298583353
KIF13A,0.0334775688571157
BCL2L10,0.0456867932300433
GIPC2,-0.177810369936264
ZNF365,-0.278378205836326
SLC38A4,0.152995663187343
COL2A1,-0.0218439564873609
CERS5,1.55560256852811
CUL4A,-0.14097234140377
EFL1,-1.42171315760644
TPGS1,-0.172281434492332
PRDM16,0.00642959127141737
PGD,-0.086844634257132
XCL1,0.123305202365968
RHOB,-0.139698315212702
GALM,-0.184422030814475
FAHD2B,-0.330249064096942
ANKMY1,1.03857396336128
TAMM41,0.114195871556487
CYP4V2,0.17879893904864
KCNMB1,0.650983740959644
SLC16A2,0.0467922421290083
CLEC1A,0.0657397233304439
DCUN1D2,-0.436197843662754
CD226,-0.199428125243404
MAT1A,0.165648431434453
MMAA,0.684030864221877
MERTK,-0.12814900835252
CNTNAP3B,0.332626175549134
FBXO43,-0.0614848984320837
RGL4,-0.0631265274724562
SPON2,-0.0377265149225322
ZNF230,0.409368908087565
SLC37A1,-0.00542577736014152
IL6R,-0.166868186666746
SLC25A34,0.0545162416130293
GFI1,0.034527310697504
SANBR,0.0431757113910623
FOXQ1,0.306498610532261
EN2,0.00955369393495342
DIPK1B,-0.166105187393238
PPP1R36,-0.0660368792425239
MARF1,-0.578602909874133
MS4A14,0.0378493948599392
PLIN4,0.0413225902700237
ZCCHC4,-0.0629089379660457
FAM178B,0.0173047918699673
SEMA4C,-0.235164938599167
SHOX2,0.261313817611464
MFF,0.00215910908183833
UPF3A,-0.282429992583051
ATF5,0.217631275298273
TMEM182,-0.294428740226912
KRT86,0.409078934503153
CEL,-0.0537575828977649
TMEM43,-0.336932886247085
NPTX1,0.0131118764357506
DLK2,0.00356573370099398
ZIK1,-0.271037278412008
ZNF131,-0.0966325072171631
PC,-0.16810441321682
RBM4B,-0.781093856151654
CEP19,0.0604630911282092
ZHX3,0.0857804270214219
SLC22A1,0.0107148538527806
FAM182B,-0.118006306845353
CLCF1,-0.108351328375255
C11orf68,-0.264955350914656
KCMF1,-1.01522240836124
DIRAS1,-0.107270823026294
FKBP9P1,0.267781643955191
SCN4B,0.0699101181919763
TGIF1,-0.250462781499063
MIEF2,-0.166511373365556
SEPTIN1,-0.0995048183626986
OXTR,-0.261461008426258
SLC2A4,0.0929503223485088
UBA7,-0.221091510927873
SH2D1A,-0.149665879808769
TMEM255B,-0.289448074972534
SLITRK6,-0.0720952757506479
LMNTD2,-0.0996951384737983
ZFP36L1,-0.17848822541434
PMEL,-0.54859838310023
CDIN1,-0.00697980978133895
CD300E,0.250863659387004
MT1X,-0.216742125353301
DNER,-0.253180517809708
TMPPE,-0.13777834839415
QRFP,0.510894186689112
ALG1L1P,0.461202625623887
ZNG1C,0.0361378203667346
ACSL5,0.048432678874709
ZNF649,-0.463265512294203
HSD17B11,0.780751897722942
ARC,-0.137932918943065
TAFA2,0.906431801060352
GJC2,-0.225856315880085
RYR3,-0.268997262126803
FCGR3A,0.0328994073713905
ZYG11A,-0.280036419743722
C6orf15,0.0092957477727478
IGHG4,0.127727657802977
PRR22,-0.0750130977189323
MLLT11,-0.165973571365307
ZNG1F,0.0856295776351437
PPIAP31,0.0134477695520276
ARIH2OS,-0.160149778635743
EPB41L4A-AS1,-0.235600837527852
ADM5,0.263944632129695
SLC25A5P5,0.34396755885443
LINC02542,0.289935951551528
MTCO2P12,0.0344229293346772
CXCR2P1,-0.00943910071748107
RPL10P6,-0.121327447431863
KRT16P5,0.144908676288037
APCDD1L-DT,0.0529625022304826
ID2-AS1,0.151570242364434
LINC00957,-0.510767231861243
ENSG00000235609,-0.0509285284289071
CCDC200,0.442198212404537
FAM157A,0.146536803996431
SCIRT,0.281572285535694
NME2,0.374331950087074
APOBEC3D,0.434562351423194
LILRA6,0.0290128481555842
KLRK1-AS1,-0.193411732192292
ENSG00000249001,0.0637603288976341
LINC01091,-0.153743923205256
ENSG00000250041,-0.0289798648763701
YPEL3-DT,0.32038346967234
PCDHGB6,-0.731447751494561
ENSG00000255026,0.0198362832370892
PAPLN-AS1,-0.193140852738019
LINC01418,0.0714453814546158
ENSG00000260912,0.191418095306736
LINC01572,-0.00596189584856721
MMP25-AS1,0.0470012963817227
ENSG00000266947,-0.0259431100183154
ATP8B1-AS1,0.00401155546641941
ENSG00000269981,0.0246870309073626
ENSG00000273014,0.626834489377394
ZNF658,0.516494471245637
ENSG00000275318,0.134187257006288
ENSG00000276136,0.258175586627062
SLCO4A1-AS2,-0.134703874232041
IGLV2-8,-0.0198483075714988
ENSG00000279495,0.0220265687814064
ENSG00000280027,0.0362956382584505
UCKL1-AS1,-0.135764033025739
IGHV3-64D,-0.00932207956662449
